Normalized Token,Total Number of Occurences,Document Frequency,User Frequency
little,504,487,456
jan,504,286,259
frontline,503,472,429
fuck,501,473,432
april,501,479,458
sign,500,476,450
head,500,498,470
practice,499,489,460
personal,499,492,457
mayor,496,476,428
post,494,484,450
folk,494,488,448
vaccine,492,440,403
there,492,478,438
minute,492,446,416
info,492,478,433
failed,491,474,432
funding,490,452,421
florida,490,448,385
cost,490,462,417
cbc,490,470,411
fund,489,455,420
february,488,475,425
started,485,469,445
rule,485,466,432
single,484,479,452
propaganda,484,472,409
break,484,478,442
16,484,481,446
spreading,483,478,438
access,483,473,430
become,482,478,448
trust,480,418,389
night,480,471,453
vancouver,478,439,355
high,478,465,411
whole,477,468,443
toll,476,453,404
l,476,406,289
according,476,471,426
talking,475,456,418
handling,475,466,423
giving,475,464,431
prevent,473,461,425
wont,472,455,416
entire,472,467,431
chief,472,466,432
hear,471,449,427
tonight,470,463,427
room,469,445,408
hell,468,457,431
rest,467,461,432
age,467,381,362
deadly,465,447,414
current,464,458,424
pas,463,446,418
hold,463,451,431
ny,456,430,379
attack,456,437,401
second,455,447,415
staying,454,439,413
spain,454,417,368
campaign,453,443,401
source,452,421,386
move,452,441,414
jkenney,452,447,321
100000,452,380,341
biden,450,368,297
lead,449,442,410
private,448,432,398
8,445,399,348
18,444,435,385
7,443,410,376
run,442,435,412
especially,442,441,414
demand,442,437,412
study,440,403,371
shortage,439,427,405
happening,438,429,407
bed,438,404,379
low,436,416,388
young,433,413,388
later,432,430,396
given,432,430,406
1000,432,409,375
policy,430,415,395
course,430,423,398
level,429,405,372
international,426,416,385
tv,425,418,379
healthy,425,404,378
25,425,407,368
congress,424,394,343
au,424,384,248
visit,423,408,370
turn,423,417,387
seems,423,421,380
article,423,417,366
street,421,409,382
inside,421,413,387
senior,420,382,347
reality,420,403,370
happen,420,389,364
found,419,412,394
est,419,367,244
slow,418,416,386
reporter,418,391,366
key,417,414,384
treat,416,406,376
ban,416,406,375
albertans,416,389,291
fine,415,403,382
came,415,400,369
lack,413,402,370
fake,411,386,355
cause,411,406,385
plankthecurve,410,410,334
india,410,361,270
behind,410,410,394
allowed,409,402,382
mar,407,329,176
wow,406,392,353
wait,406,396,379
major,406,398,377
wash,404,379,349
reporting,404,394,365
facility,404,387,357
professional,403,402,372
protection,402,373,343
false,400,388,359
nearly,399,395,360
hey,398,396,372
hero,398,390,367
condition,398,390,372
cuomo,397,369,335
kit,396,372,349
moment,395,388,359
physical,394,380,355
shit,393,385,358
distance,393,380,351
longer,392,383,356
lied,392,352,316
forget,392,376,358
bcpoli,392,392,209
restriction,391,378,359
zero,390,373,344
scientist,390,377,343
immediately,390,385,365
ford,390,362,308
agree,390,377,360
tomorrow,389,387,368
stand,389,382,356
mass,389,381,360
plus,388,356,289
late,388,377,352
hydroxychloroquine,388,362,315
return,387,380,359
ensure,387,383,350
self,386,370,355
evidence,386,368,349
strong,385,375,352
responsible,385,374,348
park,385,316,297
continues,385,380,359
phone,384,350,328
panic,384,361,332
literally,384,378,355
name,383,365,345
following,383,381,363
game,382,365,352
colleague,382,372,344
term,381,352,340
rent,381,321,303
passed,381,379,354
paid,381,363,330
gave,381,373,347
cover,381,376,356
ppl,378,328,287
half,378,363,341
tried,377,371,347
production,377,357,331
join,377,364,346
alone,377,362,344
stimulus,376,362,328
potus,376,354,301
list,376,360,326
along,376,373,350
weekend,375,324,311
warned,375,361,335
lab,375,337,313
avoid,375,358,331
running,374,362,344
covid2019,374,369,230
play,373,367,350
sending,372,367,344
bank,372,338,318
raise,371,353,328
politician,371,363,337
general,370,361,338
buy,370,352,331
provincial,369,360,325
lose,369,359,340
monday,368,361,330
heart,366,334,316
statement,364,353,332
spending,364,335,317
ok,364,337,316
science,363,335,313
obama,363,349,314
italian,363,321,307
among,363,357,327
security,362,337,312
price,362,337,317
parent,362,343,319
covidcanada,362,362,261
keeping,360,358,345
quickly,359,359,342
effective,359,346,330
centre,359,339,315
financial,358,353,334
cure,358,345,325
absolutely,358,356,334
stupid,357,341,325
seeing,356,352,335
meet,356,352,337
los,356,300,171
dear,356,352,327
reminder,355,355,338
huge,354,352,333
mind,353,352,334
worried,352,348,331
wife,352,346,327
task,352,341,304
starting,352,349,332
weve,351,340,324
screening,351,342,306
offer,351,347,327
income,351,338,307
fordnation,351,343,280
account,351,337,311
email,350,329,318
detail,350,349,332
massive,349,348,324
area,349,339,318
whether,348,337,318
mr,348,333,303
four,348,343,326
etc,348,332,324
physician,347,320,291
based,347,338,317
friday,346,341,326
chance,346,330,319
selfisolate,345,340,319
different,345,327,312
within,344,340,322
prison,343,298,274
living,343,341,321
chloroquine,343,300,274
foreign,341,331,305
paul,340,292,258
finally,340,337,303
bring,340,338,325
election,339,317,294
john,338,326,305
idiot,337,324,305
ccp,337,300,209
period,336,328,308
military,336,317,295
remain,335,331,315
ready,335,327,310
quebec,335,311,272
con,335,295,194
authority,334,327,303
transmission,333,320,294
thinking,333,326,314
prepare,333,328,309
politics,333,328,302
novel,333,332,293
watching,332,323,311
though,331,329,308
son,331,308,289
abpoli,331,329,217
une,330,298,194
rating,330,308,268
journalist,329,309,287
criminal,329,313,288
showing,327,322,305
burr,327,297,244
bringing,327,324,305
release,326,322,304
17,326,319,305
university,325,305,288
known,325,309,284
heard,325,313,298
killed,324,305,286
physicaldistancing,323,312,265
event,323,298,283
direct,323,313,289
taiwan,321,273,218
organization,321,315,304
worry,320,312,305
mp,320,275,246
former,320,317,303
center,320,310,280
sunday,319,316,299
sense,319,308,296
hundred,319,315,297
holding,319,313,295
hate,319,302,276
facing,319,319,304
dollar,319,309,288
coronaviruspandemic,319,319,238
closing,319,307,289
washington,318,303,285
related,318,317,296
ahead,318,315,301
9,318,310,284
challenge,317,309,299
40,317,304,291
special,316,314,295
currently,316,306,291
rise,315,305,281
body,315,300,279
rather,314,312,297
date,314,308,290
airport,314,298,273
ucp,313,288,194
ship,313,291,265
future,313,312,298
walk,312,285,266
covid19ab,312,312,225
urgent,311,309,285
whats,310,301,280
saw,309,294,283
normal,309,297,285
biggest,309,306,291
animal,309,241,221
agency,308,299,283
wage,307,278,259
record,307,300,284
probably,307,305,295
loved,307,305,295
individual,307,302,285
effect,307,295,279
feeling,306,298,282
unless,305,300,286
stopped,305,302,282
potential,305,301,291
impeachment,305,290,253
wonder,304,302,285
sur,304,276,202
respond,304,302,286
five,304,295,285
returning,303,297,285
nobody,303,285,273
joe,303,263,226
address,303,299,288
imagine,302,286,270
church,302,262,238
affected,301,296,281
several,300,300,285
interest,300,297,287
illegal,300,285,257
qui,299,267,179
note,299,295,280
necessary,299,296,275
wish,298,295,276
north,298,288,272
worldwide,297,288,274
refuse,297,281,265
piece,297,288,272
large,297,291,276
add,297,287,275
payment,296,273,268
parliament,296,255,240
industry,296,283,270
hotel,296,262,242
held,296,288,253
retweet,295,287,268
intelligence,295,279,246
gear,295,290,268
fda,295,273,254
common,295,288,276
capacity,295,275,258
link,294,287,267
covid19canada,294,294,256
county,294,260,232
credit,293,280,265
regime,292,263,195
fire,292,277,267
completely,292,292,280
beach,292,266,251
side,291,268,256
pretty,291,289,281
pa,291,246,172
network,291,280,265
er,291,269,251
society,290,282,269
prepared,290,260,252
worth,289,283,263
selfisolation,289,273,251
hospitalized,289,273,255
education,289,271,238
program,288,269,254
poll,288,275,258
johnson,287,264,245
insurance,287,249,237
fast,287,282,260
earlier,286,280,266
dans,286,255,172
charge,286,282,270
unemployment,285,268,254
leading,285,274,257
spent,284,281,264
water,283,261,250
donate,283,271,258
battle,283,280,266
11,283,270,254
youtube,282,278,210
sound,282,279,268
sad,282,271,265
approval,280,267,240
shandro,279,266,191
research,279,265,250
paper,279,256,250
legislation,279,271,259
combat,279,279,275
six,278,265,250
released,278,276,264
nonessential,278,275,253
difference,278,265,252
0,278,191,138
voted,275,269,254
sold,275,271,251
sen,275,263,236
gathering,275,264,253
22,275,271,253
priority,274,269,252
penny,274,234,218
spring,273,261,249
grab,273,271,243
either,273,268,255
poor,272,261,243
oil,272,243,225
learned,272,266,258
happened,272,267,258
restaurant,271,249,230
recovered,271,264,242
incredible,271,265,260
husband,271,261,245
site,270,247,225
midst,270,268,250
light,270,265,256
flatten,270,265,260
climate,270,255,235
carbon,270,244,210
arent,270,266,252
guideline,269,256,237
comment,269,257,249
waiting,268,265,251
profit,268,257,243
cough,268,259,246
blood,268,224,211
fall,267,257,249
ce,267,236,160
trial,266,246,230
passenger,266,251,234
germany,266,248,229
example,266,263,251
disaster,266,248,228
contain,266,265,254
attention,266,260,252
allow,266,265,250
amazing,265,258,246
21,265,257,229
misinformation,264,261,240
difficult,264,264,255
department,264,259,241
wear,263,254,241
vous,263,174,135
space,263,252,240
meeting,263,251,245
il,263,207,136
happy,263,259,246
experience,263,256,248
beginning,263,252,243
ad,263,236,219
spend,262,258,249
notice,262,257,248
model,262,231,225
happens,262,261,253
teacher,261,238,219
exactly,261,260,251
damn,261,256,239
closure,261,253,235
rich,260,256,244
isolate,260,238,227
higher,260,254,241
focus,260,257,251
proud,259,255,249
losing,259,237,230
dealing,259,247,233
couple,259,256,247
asian,259,237,225
michigan,258,241,220
glove,258,250,242
danger,258,258,244
saving,257,253,246
refused,257,252,245
democracy,257,250,237
approved,257,230,223
tam,256,249,236
russia,256,235,212
received,256,253,241
product,256,229,223
killing,256,249,236
ignored,256,248,229
forced,256,253,247
figure,256,253,241
delivery,256,248,233
caused,256,250,234
1st,256,243,236
prayer,255,232,215
door,255,238,224
wanted,254,250,234
simple,254,253,243
irresponsible,254,240,232
france,254,245,223
announces,254,251,236
treating,253,251,242
limit,252,243,228
british,252,249,226
basic,252,248,236
worked,251,250,238
tool,251,249,235
push,251,244,237
debt,251,208,202
b,251,248,241
shutdown,250,235,219
paying,250,247,237
dy,250,242,228
chain,250,228,213
union,248,234,222
seem,248,246,239
reduce,248,246,228
letter,248,236,227
except,248,248,238
trudeaus,247,240,211
tip,247,241,230
budget,247,235,223
mental,246,228,209
consider,246,244,233
opportunity,245,237,231
fed,245,240,227
drop,245,234,224
consequence,244,228,217
allowing,244,240,225
growing,243,242,230
forward,243,237,230
suffering,242,239,223
road,242,237,227
nous,242,186,142
coverage,242,232,204
complete,242,235,223
building,242,232,223
lock,241,233,225
created,241,234,226
60,241,236,230
website,240,236,228
surge,240,235,219
sharing,239,238,232
rand,239,219,198
28,239,208,186
recovery,238,229,217
reach,238,226,213
west,237,232,220
respect,237,228,223
homeless,237,223,205
role,236,235,228
responsibility,236,234,221
loss,236,227,219
explain,236,231,221
dog,236,213,202
assistance,236,230,214
negative,235,225,213
disgusting,235,228,215
toilet,234,226,220
short,234,230,226
rally,234,222,194
class,234,212,204
500,234,233,224
volunteer,233,215,204
region,233,217,207
interview,233,229,218
solution,232,225,218
unit,231,218,207
playing,231,230,222
nancy,231,219,187
incompetent,231,229,214
california,231,225,211
beyond,231,229,222
announcement,231,226,211
27,231,224,206
viral,230,222,212
issued,230,225,198
additional,230,227,217
29,230,229,212
23,230,224,211
concerned,229,210,199
ability,229,210,204
26,229,224,205
guess,228,228,222
31,228,211,192
sector,227,214,205
resign,227,217,201
fever,227,199,190
begin,227,220,214
opposition,226,220,199
laid,226,217,210
henry,226,223,152
hearing,226,220,214
gone,226,223,217
directly,226,226,218
choice,226,219,212
200000,226,222,211
virtual,225,221,209
sorry,225,216,211
men,225,208,200
red,224,214,203
jail,224,201,187
highest,224,211,204
handle,224,217,206
driver,224,215,209
nice,223,220,215
ignore,223,219,212
opinion,222,212,205
doug,222,213,188
actual,222,221,172
speak,221,218,214
providing,221,218,215
incompetence,221,220,214
apart,221,221,212
saturday,220,217,206
medicine,220,214,208
majority,220,219,213
learning,220,208,198
illness,220,213,198
discus,220,219,209
2000,220,204,194
totally,219,218,209
excuse,219,219,209
10000,219,181,170
plane,218,199,187
multiple,218,217,211
delay,218,203,186
council,218,202,189
shame,217,209,201
victim,216,209,203
urge,216,216,208
traveller,216,208,192
struggling,216,213,200
shelter,216,199,192
tuesday,215,213,202
ten,215,212,207
survive,215,211,207
spoke,215,214,205
often,215,210,205
bullshit,215,213,200
andrewscheer,215,212,183
wearing,214,204,194
doc,214,193,173
dems,214,194,167
began,214,214,204
beat,214,203,195
wake,213,212,202
migrant,213,199,186
immediate,213,212,204
bag,213,190,179
80,213,210,203
recent,212,211,205
racism,212,203,186
kenney,212,202,157
evil,212,207,194
clean,212,204,199
unprecedented,211,206,199
n,211,193,172
ground,211,210,192
create,211,209,201
near,210,207,199
insider,210,201,186
helped,210,206,199
ca,210,150,105
airline,210,198,192
troop,209,202,194
pray,209,195,188
ne,209,182,142
joke,209,206,202
declared,209,201,199
daughter,209,207,199
severe,208,200,191
pushing,208,204,196
meanwhile,208,208,204
director,208,205,196
brought,208,207,201
blaming,208,174,159
win,207,202,196
view,207,186,146
tough,207,201,199
ordered,207,195,188
empty,207,197,193
aux,207,183,135
updated,206,205,196
msm,206,187,175
expect,206,205,198
corporate,206,204,197
45,206,198,186
wh,205,201,185
wasnt,205,194,190
simply,205,204,196
fired,205,202,198
truly,204,202,191
shes,204,183,174
host,204,199,194
avec,204,193,135
approach,204,199,187
track,203,193,186
okay,203,176,170
eye,203,199,196
earth,203,194,186
donated,203,196,191
buying,203,200,191
attempt,203,202,190
aside,203,185,180
turned,202,201,193
par,202,187,131
offering,202,200,190
foot,202,190,183
bailout,202,193,179
baby,202,184,175
voter,201,191,179
v,201,190,183
led,201,201,194
everybody,201,196,184
domestic,201,193,188
car,201,185,176
warns,200,197,189
torontostar,200,200,178
ton,200,197,186
regarding,200,199,193
page,200,186,178
informed,200,199,195
europe,200,196,187
911,199,187,182
protecting,198,198,193
partner,198,192,188
exposed,198,197,187
as,198,194,187
town,197,192,188
photo,197,194,186
ottnews,197,196,102
indigenous,197,169,139
crime,197,189,178
count,197,180,175
correct,197,197,193
chinesevirus,197,188,152
stuff,196,194,190
donating,196,188,180
defense,196,193,183
dad,196,184,180
cbcnews,196,195,171
produce,195,195,186
ont,195,175,149
neighbour,195,193,186
moving,195,194,187
easter,195,187,173
cash,195,187,177
touch,194,191,187
texas,194,176,164
owner,194,190,181
democratic,194,191,178
confirms,194,192,184
ab,194,178,153
receive,193,193,185
nursing,193,180,169
london,193,189,170
la,193,164,89
adult,193,189,181
treated,192,184,178
shift,192,185,181
returned,192,188,186
mild,192,186,182
lesson,192,189,181
temporarily,191,188,181
includes,191,191,187
coronavirusoutbreak,191,191,149
mcconnell,190,181,171
largest,190,185,177
cruise,190,167,151
corporation,190,186,180
boris,190,183,174
bit,190,187,183
strategy,189,184,180
shared,189,189,184
msnbc,189,187,169
loan,189,169,160
kept,189,183,178
island,189,181,161
extra,189,183,180
boy,189,179,175
75,189,181,176
trillion,188,180,164
scared,188,181,179
saved,188,188,182
project,188,174,166
mom,188,177,176
e,188,153,86
donation,188,180,174
devastating,188,186,181
ceo,188,184,176
busy,188,178,174
board,188,183,178
andrew,188,187,182
timeline,187,172,164
land,187,176,169
disinformation,187,182,167
c,187,168,155
yyc,186,184,115
focused,186,180,173
expected,186,185,178
québec,185,169,108
mother,185,176,169
guidance,185,170,163
70,185,178,174
2019,185,178,173
wednesday,184,180,161
truck,184,178,169
trading,184,176,163
supposed,184,183,176
remains,184,182,177
quarantined,184,182,180
process,184,176,170
terrible,183,181,175
gown,183,179,170
extremely,183,177,176
ei,183,162,143
trade,182,174,166
picture,182,179,172
infectious,182,179,173
50000,182,180,174
stress,181,178,170
responding,181,181,174
realize,181,177,171
planning,181,178,173
eat,181,164,160
whatever,180,173,165
provider,180,178,169
greatest,180,178,169
facebook,180,167,160
enemy,180,166,155
contract,180,167,159
committee,180,171,164
beijing,180,175,155
apparently,180,178,171
amount,180,176,172
richard,179,178,156
respirator,179,175,167
remind,179,179,176
listening,179,176,169
fatality,179,169,157
diagnosed,179,179,170
couldnt,179,174,171
abroad,179,169,163
34,179,177,169
stockpile,178,162,156
selling,178,169,163
researcher,178,176,168
nh,178,162,144
moron,178,173,162
fault,178,170,166
caught,178,172,165
lay,177,174,163
amazon,177,151,148
alert,177,172,167
welcome,176,164,159
wave,176,162,158
significant,176,174,169
recently,176,174,168
humanity,176,173,168
elderly,176,173,168
developed,176,170,168
personnel,175,173,165
legal,174,170,161
court,174,150,144
yeg,173,173,112
surgical,173,159,157
supporter,173,164,157
star,173,169,163
st,173,158,147
manufacturing,173,170,167
interesting,173,171,166
army,173,163,157
smart,172,170,167
r,172,148,142
q,172,144,130
nytimes,172,172,151
limited,172,172,167
form,172,171,163
deep,172,164,159
crazy,172,168,161
arrested,172,170,162
vital,171,169,162
thursday,171,170,165
raising,171,170,163
practicing,171,171,168
maga,171,164,147
immune,171,166,160
corrupt,171,166,157
ndp,170,151,138
gate,170,157,151
excellent,170,169,163
eu,170,151,132
clearly,170,170,167
build,170,167,164
temporary,169,167,160
speaking,169,166,162
serve,169,164,161
sanction,169,146,123
partisan,169,160,150
customer,169,149,141
continuing,169,168,163
anxiety,169,154,152
wrote,168,167,164
train,168,163,159
november,168,165,156
nigeria,168,136,77
maintain,168,166,161
joebiden,168,164,144
however,168,168,162
growth,168,160,155
exposure,168,165,162
acting,168,164,157
warn,167,166,164
responder,167,163,152
layoff,167,163,159
grateful,167,166,161
request,166,164,157
quite,166,166,163
posted,166,161,152
position,166,162,156
damage,166,165,157
australia,166,155,134
appears,166,165,164
usual,165,165,160
type,165,161,159
tonne,165,157,148
shopping,165,161,158
scam,165,155,148
publicly,165,149,142
pick,165,160,157
highly,165,165,165
gas,165,156,147
eviction,165,151,142
cpchq,165,165,145
whose,164,154,151
urging,164,160,152
lower,164,157,155
liar,164,158,148
globeandmail,164,163,148
december,164,159,152
shop,163,154,152
possibly,163,163,161
lung,163,148,147
hot,163,154,152
freedom,163,159,147
deserve,163,160,158
card,163,155,149
black,163,156,155
average,163,152,140
absolute,163,162,159
require,162,160,154
